Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-02-08;782,20;782,60;783,00;784,80;779,60;779,60;781,101;240313;187718492,49;2910;
2019-02-07;782,20;782,60;777,20;788,00;776,00;782,20;782,272;346727;271227344,33;4584;
2019-02-06;779,00;779,60;780,00;785,00;768,60;778,60;778,416;762485;593545129,19;11672;
2019-02-05;752,40;753,20;752,40;757,40;750,80;750,80;753,375;318803;240186018,4;5075;
2019-02-04;753,60;754,00;755,40;758,20;750,20;752,20;753,67;245775;185233600,1;3760;
2019-02-01;754,00;754,40;752,80;756,80;747,80;755,40;754,298;253463;191185185,2;3439;
2019-01-31;744,40;745,00;741,20;748,00;740,40;745,40;744,872;227361;169354451,2;2565;
2019-01-30;738,00;738,60;741,20;741,20;732,00;736,80;736,397;184264;135691945,4;2737;
2019-01-29;738,40;738,80;732,00;740,20;729,20;740,20;736,68;216151;159186829,54;3075;
2019-01-28;728,20;728,60;731,00;732,60;726,40;730,00;729,405;165404;120644656,8;2377;
2019-01-25;730,20;730,60;736,60;737,40;728,80;730,40;731,22;147349;107745918,1;2732;
2019-01-24;732,00;732,20;729,00;736,40;728,40;735,20;734,116;174233;127906379,4;2109;
2019-01-23;728,60;729,00;730,40;732,80;725,60;727,20;729,122;238385;173816597,6;2902;
2019-01-22;730,60;731,00;734,00;736,20;729,60;729,60;731,631;200372;146604141,8;2360;
2019-01-21;735,80;736,20;737,60;739,60;735,00;735,00;736,869;380638;280480616,4;1920;
2019-01-18;735,00;735,60;729,80;738,40;725,60;738,40;734,928;381196;280126143,1;3160;
2019-01-17;727,00;727,60;721,80;730,20;719,20;727,20;726,46;172299;125168410,3;2343;
2019-01-16;720,60;721,00;730,00;730,40;716,20;722,00;721,728;281771;203362644,9;3500;
2019-01-15;720,40;720,80;712,60;720,80;712,60;719,00;718,076;195740;140554467,9;3115;
2019-01-14;711,80;712,60;714,00;718,60;711,20;711,20;713,788;299217;213588615,7;3885;
2019-01-11;714,20;714,60;705,80;717,20;705,00;717,20;713,76;223550;159570955,6;2435;
2019-01-10;704,40;705,20;694,60;705,20;694,60;703,20;700,911;267672;187592736,4;3297;
2019-01-09;696,20;696,80;698,00;701,00;691,40;697,00;696,731;253021;176287539,6;3883;
2019-01-08;696,20;696,80;701,40;702,40;691,00;697,40;697,491;247730;172789817,7;3436;
2019-01-07;699,60;699,80;706,20;706,20;692,60;700,00;697,808;184777;128936496,6;2864;
2019-01-04;706,40;707,00;696,40;710,20;693,40;710,20;706,397;184836;130559258;1848;
2019-01-03;692,40;692,80;697,80;701,20;690,60;693,80;693,929;165826;115070512;2477;
